=== bce_dice-transpose-half_shallow-s42-55dfa7 === 28,088,513 tham số, thiết bị cuda
epoch  31/120 | train 0.2903 | val 0.3494 | val dice 0.6839 | val iou 0.5608
epoch  32/120 | train 0.2856 | val 0.3050 | val dice 0.7026 | val iou 0.5886
epoch  33/120 | train 0.2808 | val 0.2928 | val dice 0.7170 | val iou 0.6059
epoch  34/120 | train 0.2642 | val 0.2586 | val dice 0.7470 | val iou 0.6444 *
epoch  35/120 | train 0.2682 | val 0.2462 | val dice 0.7802 | val iou 0.6725 *
epoch  36/120 | train 0.2583 | val 0.2947 | val dice 0.7230 | val iou 0.6140
epoch  37/120 | train 0.2503 | val 0.2427 | val dice 0.7746 | val iou 0.6721
epoch  38/120 | train 0.2486 | val 0.2288 | val dice 0.7906 | val iou 0.6906 *
epoch  39/120 | train 0.2378 | val 0.2371 | val dice 0.7744 | val iou 0.6796
epoch  40/120 | train 0.2300 | val 0.2953 | val dice 0.7100 | val iou 0.6104
epoch  41/120 | train 0.2262 | val 0.2715 | val dice 0.7284 | val iou 0.6359
epoch  42/120 | train 0.2199 | val 0.2222 | val dice 0.7935 | val iou 0.7044 *
epoch  43/120 | train 0.2192 | val 0.2240 | val dice 0.7976 | val iou 0.6959 *
epoch  44/120 | train 0.2153 | val 0.2320 | val dice 0.7879 | val iou 0.6910
epoch  45/120 | train 0.2051 | val 0.2162 | val dice 0.8034 | val iou 0.7021 *
epoch  46/120 | train 0.2155 | val 0.2130 | val dice 0.7965 | val iou 0.7014
epoch  47/120 | train 0.2092 | val 0.2277 | val dice 0.7890 | val iou 0.7018
epoch  48/120 | train 0.1985 | val 0.2045 | val dice 0.8176 | val iou 0.7289 *
epoch  49/120 | train 0.2013 | val 0.1944 | val dice 0.8239 | val iou 0.7337 *
epoch  50/120 | train 0.1909 | val 0.2037 | val dice 0.8112 | val iou 0.7161
epoch  51/120 | train 0.1881 | val 0.1954 | val dice 0.8294 | val iou 0.7385 *
epoch  52/120 | train 0.1862 | val 0.1807 | val dice 0.8410 | val iou 0.7575 *
epoch  53/120 | train 0.1854 | val 0.1957 | val dice 0.8240 | val iou 0.7359
epoch  54/120 | train 0.1820 | val 0.1961 | val dice 0.8252 | val iou 0.7343
epoch  55/120 | train 0.1819 | val 0.2451 | val dice 0.7764 | val iou 0.6939
epoch  56/120 | train 0.1827 | val 0.1864 | val dice 0.8308 | val iou 0.7437
